127.0.0.1 - - [18/May/2025:18:11:04 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/May/2025:18:11:05 +0530] "GET /University/ HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [18/May/2025:18:11:05 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/May/2025:18:11:12 +0530] "GET /University/details.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [18/May/2025:18:11:26 +0530] "GET /University/details.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2025:18:11:28 +0530] "GET /University/ HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [18/May/2025:18:11:42 +0530] "GET /University/ HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [18/May/2025:18:12:50 +0530] "GET /University/details.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2025:18:12:53 +0530] "GET /University/ HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [18/May/2025:18:13:10 +0530] "GET /University/ HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [18/May/2025:18:13:44 +0530] "GET /University/ HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [18/May/2025:18:13:51 +0530] "GET /University/ HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [18/May/2025:18:16:25 +0530] "GET /University/details.html HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [18/May/2025:18:17:02 +0530] "GET /University/details.html HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [18/May/2025:18:18:01 +0530] "GET /University/details.html HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [18/May/2025:18:18:02 +0530] "GET /University/details.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2025:18:18:18 +0530] "GET /University/details.html HTTP/1.1" 200 764
0:0:0:0:0:0:0:1 - - [18/May/2025:18:18:38 +0530] "GET /University/details.html HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [18/May/2025:18:18:46 +0530] "GET /University/details.html HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [18/May/2025:18:19:10 +0530] "GET /University/details.html HTTP/1.1" 200 800
